0x41	0x61
0x1F68	0x1F60
0x1F69	0x1F61
0x1F6A	0x1F62
0x1F6B	0x1F63
0x1F6C	0x1F64
0x1F6D	0x1F65
0x1F6E	0x1F66
0x1F6F	0x1F67
0x1F88	0x1F80
0x1F89	0x1F81
0x1F8A	0x1F82
0x1F8B	0x1F83
0x1F8C	0x1F84
0x1F8D	0x1F85
0x1F8E	0x1F86
0x1F8F	0x1F87
0x1F98	0x1F90
0x1F99	0x1F91
0x1F9A	0x1F92
0x1F9B	0x1F93
0x1F9C	0x1F94
0x1F9D	0x1F95
0x1F9E	0x1F96
0x1F9F	0x1F97
0x1FA8	0x1FA0
0x1FA9	0x1FA1
0x1FAA	0x1FA2
0x1FAB	0x1FA3
0x1FAC	0x1FA4
0x1FAD	0x1FA5
0x1FAE	0x1FA6
0x1FAF	0x1FA7
0x1FB8	0x1FB0
0x1FB9	0x1FB1
0x1FD8	0x1FD0
0x1FD9	0x1FD1
0x1FE8	0x1FE0
0x1FE9	0x1FE1
0x24B6	0x24D0
0x24B7	0x24D1
0x24B8	0x24D2
0x24B9	0x24D3
0x24BA	0x24D4
0x24BB	0x24D5
0x24BC	0x24D6
0x24BD	0x24D7
0x24BE	0x24D8
0x24BF	0x24D9
0x24C0	0x24DA
0x24C1	0x24DB
0x24C2	0x24DC
0x24C3	0x24DD
0x24C4	0x24DE
0x24C5	0x24DF
0x24C6	0x24E0
0x24C7	0x24E1
0x24C8	0x24E2
0x24C9	0x24E3
0x24CA	0x24E4
0x24CB	0x24E5
0x24CC	0x24E6
0x24CD	0x24E7
0x24CE	0x24E8
0x24CF	0x24E9
0xFF21	0xFF41
0xFF22	0xFF42
0xFF23	0xFF43
0xFF24	0xFF44
0xFF25	0xFF45
0xFF26	0xFF46
0xFF27	0xFF47
0xFF28	0xFF48
0xFF29	0xFF49
0xFF2A	0xFF4A
0xFF2B	0xFF4B
0xFF2C	0xFF4C
0xFF2D	0xFF4D
0xFF2E	0xFF4E
0xFF2F	0xFF4F
0xFF30	0xFF50
0xFF31	0xFF51
0xFF32	0xFF52
0xFF33	0xFF53
0xFF34	0xFF54
0xFF35	0xFF55
0xFF36	0xFF56
0xFF37	0xFF57
0xFF38	0xFF58
0xFF39	0xFF59
0xFF3A	0xFF5A
